minutes_working_since_last_maintenance,maintenance,chlorine_level_ppm,electric_supply,provider,team
660,0,3.2267,14.62135,providerA,teamA
675,0,4.90838,6.70061,providerA,teamA
690,0,3.72524,16.34674,providerA,teamA
705,0,1.28925,7.51361,providerA,teamA
720,0,3.29593,4.82573,providerA,teamA
735,0,4.41463,17.07703,providerA,teamA
750,0,3.39286,5.88464,providerA,teamA
765,0,3.71876,18.60688,providerA,teamA
780,0,3.45331,16.15206,providerA,teamA
795,0,1.57396,15.05119,providerA,teamA
810,0,2.67305,13.84699,providerA,teamA
825,0,1.76132,17.50205,providerA,teamA
840,0,4.12274,14.17676,providerA,teamA
855,0,1.94657,18.78552,providerA,teamA
870,0,3.3636,12.89839,providerA,teamA
885,0,1.57813,14.38573,providerA,teamA
900,0,2.96484,14.62552,providerA,teamA
915,0,1.03291,16.68111,providerA,teamA
930,0,2.90505,10.12414,providerA,teamA
945,0,3.6287,16.36488,providerA,teamA
960,0,1.4919,7.32926,providerA,teamA
975,0,1.46693,4.58006,providerA,teamA
990,0,0.11757,15.1506,providerA,teamA
1005,0,4.699,18.12652,providerA,teamA
1020,0,1.25177,12.89216,providerA,teamA
1035,0,3.24864,14.24443,providerA,teamA
1050,0,4.40281,13.63387,providerA,teamA
1065,0,2.03291,17.25819,providerA,teamA
1080,0,0.95679,22.05819,providerA,teamA
1095,0,4.42443,27.00819,providerA,teamA
1110,0,0.39585,32.10819,providerA,teamA
1125,0,4.88352,37.35819,providerA,teamA
1140,0,0.98404,42.75819,providerA,teamA
1155,0,2.87158,48.30819,providerA,teamA
1170,0,1.17025,54.00819,providerA,teamA
1185,0,4.50269,59.85819,providerA,teamA
1200,0,0.78313,65.85819,providerA,teamA
1215,0,4.5088,72.00819,providerA,teamA
1230,0,0.21157,78.30819,providerA,teamA
1245,0,4.19527,84.75819,providerA,teamA
1260,0,0.88051,91.35819,providerA,teamA
1275,0,3.57001,98.10819,providerA,teamA
1290,0,4.26293,105.00819,providerA,teamA
1305,0,3.77573,112.05819,providerA,teamA
1320,0,3.8458,119.25819,providerA,teamA
1335,0,4.80524,126.60819,providerA,teamA
1350,0,0.80676,134.10819,providerA,teamA
1365,0,0.16578,141.75819,providerA,teamA
1380,0,4.12435,149.55819,providerA,teamA
1395,0,2.25824,157.50819,providerA,teamA
1410,0,1.81605,165.60819,providerA,teamA
1425,0,1.20579,173.85819,providerA,teamA
0,0,2.1735,167.85819,providerA,teamA
15,0,0.34706,162.00819,providerA,teamA
30,0,2.70957,156.30819,providerA,teamA
45,0,3.64505,150.75819,providerA,teamA
60,0,1.28828,145.35819,providerA,teamA
75,0,1.36102,140.10819,providerA,teamA
90,0,3.6708,135.00819,providerA,teamA
105,0,4.98196,130.05819,providerA,teamA
120,1,2.23432,125.25819,providerA,teamA
15,0,3.59658,18.3886,providerA,teamA
30,0,3.32413,14.91629,providerA,teamA
45,0,3.09096,17.80639,providerA,teamA
60,0,3.4959,6.0825,providerA,teamA
75,0,0.79713,5.71861,providerA,teamA
90,0,3.68531,10.62184,providerA,teamA
105,0,4.53124,10.90801,providerA,teamA
120,0,4.40504,5.88491,providerA,teamA
135,0,4.25864,18.70476,providerA,teamA
150,0,4.75032,6.37401,providerA,teamA
165,0,4.83583,16.14495,providerA,teamA
180,0,3.66725,17.54515,providerA,teamA
195,0,4.63051,6.53421,providerA,teamA
210,0,4.72965,16.10181,providerA,teamA
225,0,1.85566,17.29319,providerA,teamA
240,0,4.37474,12.05653,providerA,teamA
255,0,2.43002,13.03131,providerA,teamA
270,0,2.86941,13.25124,providerA,teamA
285,0,0.72983,9.18664,providerA,teamA
300,0,4.92382,5.75149,providerA,teamA
315,0,3.61122,17.05383,providerA,teamA
330,0,1.13253,11.19578,providerA,teamA
345,0,1.21322,18.79184,providerA,teamA
360,0,1.89735,17.68377,providerA,teamA
375,0,0.90717,16.53298,providerA,teamA
390,0,4.58423,7.68723,providerA,teamA
405,0,3.24731,14.48363,providerA,teamA
420,0,4.38052,9.69097,providerA,teamA
435,0,1.98517,15.69218,providerA,teamA
450,0,0.20656,18.87013,providerA,teamA
465,0,3.66724,12.41918,providerA,teamA
480,0,2.04036,10.3854,providerA,teamA
495,0,4.91416,4.75623,providerA,teamA
510,0,0.14841,11.06931,providerA,teamA
525,0,1.34054,16.07355,providerA,teamA
540,0,1.50479,11.94633,providerA,teamA
555,0,4.55503,4.05238,providerA,teamA
570,0,1.0867,18.87567,providerA,teamA
585,0,3.09361,16.48169,providerA,teamA
600,0,4.45215,14.28754,providerA,teamA
615,0,4.82381,17.20943,providerA,teamA
630,0,2.43189,8.33896,providerA,teamA
645,0,1.98458,12.96154,providerA,teamA
660,0,3.73037,13.56154,providerA,teamA
675,0,0.38121,14.31154,providerA,teamA
690,0,3.77868,15.21154,providerA,teamA
705,0,1.83417,16.26154,providerA,teamA
720,0,3.08408,17.46154,providerA,teamA
735,0,3.687,18.81154,providerA,teamA
750,0,0.69653,20.31154,providerA,teamA
765,0,2.16706,21.96154,providerA,teamA
780,0,4.08384,23.76154,providerA,teamA
795,0,3.16755,25.71154,providerA,teamA
810,0,3.21637,27.81154,providerA,teamA
825,0,0.85163,30.06154,providerA,teamA
840,0,2.21651,32.46154,providerA,teamA
855,0,4.06693,35.01154,providerA,teamA
870,0,1.26804,37.71154,providerA,teamA
885,0,4.48625,40.56154,providerA,teamA
900,0,0.23529,43.56154,providerA,teamA
915,0,3.89481,46.71154,providerA,teamA
930,0,1.70596,50.01154,providerA,teamA
945,0,1.01429,53.46154,providerA,teamA
960,0,1.04147,57.06154,providerA,teamA
975,0,2.37367,60.81154,providerA,teamA
990,0,0.7516,64.71154,providerA,teamA
1005,0,3.32854,68.76154,providerA,teamA
1020,0,4.11693,72.96154,providerA,teamA
1035,0,0.17217,77.31154,providerA,teamA
1050,0,2.55961,81.81154,providerA,teamA
1065,0,4.29832,86.46154,providerA,teamA
1080,0,4.25011,91.26154,providerA,teamA
1095,0,4.13874,96.21154,providerA,teamA
1110,0,3.89272,101.31154,providerA,teamA
1125,0,2.10428,106.56154,providerA,teamA
1140,0,4.48539,111.96154,providerA,teamA
1155,0,0.01271,117.51154,providerA,teamA
1170,0,4.54493,123.21154,providerA,teamA
1185,0,1.10604,129.06154,providerA,teamA
1200,0,3.72719,135.06154,providerA,teamA
1215,0,4.69257,141.21154,providerA,teamA
1230,0,4.04325,147.51154,providerA,teamA
1245,0,0.10299,153.96154,providerA,teamA
1260,0,0.89527,160.56154,providerA,teamA
1275,0,1.21897,167.31154,providerA,teamA
1290,0,3.95266,174.21154,providerA,teamA
1305,0,2.74878,181.26154,providerA,teamA
1320,0,1.18038,188.46154,providerA,teamA
1335,0,1.29331,195.81154,providerA,teamA
1350,0,4.55616,203.31154,providerA,teamA
1365,0,0.15226,210.96154,providerA,teamA
1380,0,3.10704,218.76154,providerA,teamA
1395,0,1.55992,226.71154,providerA,teamA
1410,0,4.04137,234.81154,providerA,teamA
1425,0,0.93444,243.06154,providerA,teamA
0,0,2.1618,237.06154,providerA,teamA
15,0,3.70567,231.21154,providerA,teamA
30,0,4.96472,225.51154,providerA,teamA
45,0,0.67495,219.96154,providerA,teamA
60,0,2.92492,214.56154,providerA,teamA
75,0,1.20021,209.31154,providerA,teamA
90,0,3.47565,204.21154,providerA,teamA
105,0,2.06873,199.26154,providerA,teamA
120,1,4.62088,194.46154,providerA,teamA
15,0,2.48224,7.66978,providerA,teamA
30,0,1.87273,12.54498,providerA,teamA
45,0,1.58607,17.91845,providerA,teamA
60,0,4.31763,11.57825,providerA,teamA
75,0,3.81854,14.36825,providerA,teamA
90,0,3.05819,18.13782,providerA,teamA
105,0,3.52167,16.77833,providerA,teamA
120,0,0.27625,11.25142,providerA,teamA
135,0,3.0665,13.99333,providerA,teamA
150,0,4.34499,16.2447,providerA,teamA
165,0,2.99751,14.20168,providerA,teamA
180,0,4.64659,11.94057,providerA,teamA
195,0,0.62283,5.0286,providerA,teamA
210,0,1.96374,11.32509,providerA,teamA
225,0,3.65295,14.20685,providerA,teamA
240,0,4.00757,12.79909,providerA,teamA
255,0,0.29791,11.08193,providerA,teamA
270,0,0.25613,8.85212,providerA,teamA
285,0,3.51544,11.02183,providerA,teamA
300,0,1.05192,7.89088,providerA,teamA
315,0,0.56755,5.79725,providerA,teamA
330,0,0.69926,11.9541,providerA,teamA
345,0,3.90557,7.35787,providerA,teamA
360,0,1.49723,16.53116,providerA,teamA
375,0,0.68935,16.20236,providerA,teamA
390,0,3.26933,18.87942,providerA,teamA
405,0,4.47855,19.74212,providerA,teamA
420,0,3.28365,10.93362,providerA,teamA
435,0,0.38595,6.17339,providerA,teamA
450,0,4.07318,17.04257,providerA,teamA
465,0,2.83226,14.24661,providerA,teamA
480,0,4.74167,8.99583,providerA,teamA
495,0,1.97912,7.78507,providerA,teamA
510,0,4.51419,6.72473,providerA,teamA
525,0,4.40566,15.1436,providerA,teamA
540,0,0.52517,17.33722,providerA,teamA
555,0,3.81324,5.19464,providerA,teamA
570,0,4.84141,4.31247,providerA,teamA
585,0,2.94587,5.47954,providerA,teamA
600,0,3.5026,10.89087,providerA,teamA
615,0,2.64662,18.96183,providerA,teamA
630,0,2.17086,6.23769,providerA,teamA
645,0,1.25478,7.81893,providerA,teamA
660,0,4.02021,7.10423,providerA,teamA
675,0,4.56653,4.16821,providerA,teamA
690,0,4.08463,19.20461,providerA,teamA
705,0,2.33187,15.69893,providerA,teamA
720,0,3.02982,16.58674,providerA,teamA
735,0,3.48458,4.29267,providerA,teamA
750,0,4.81674,9.79183,providerA,teamA
765,0,1.7622,6.41967,providerA,teamA
780,0,2.39438,19.6555,providerA,teamA
795,0,3.45848,8.82159,providerA,teamA
810,0,0.61446,8.70952,providerA,teamA
825,0,1.64304,16.7742,providerA,teamA
840,0,3.49652,5.255,providerA,teamA
855,0,4.23613,7.805,providerA,teamA
870,0,0.54532,10.505,providerA,teamA
885,0,3.17493,13.355,providerA,teamA
900,0,0.86583,16.355,providerA,teamA
915,0,3.94431,19.505,providerA,teamA
930,0,1.64586,22.805,providerA,teamA
945,0,2.19314,26.255,providerA,teamA
960,0,2.8071,29.855,providerA,teamA
975,0,3.28795,33.605,providerA,teamA
990,0,3.27858,37.505,providerA,teamA
1005,0,4.17051,41.555,providerA,teamA
1020,0,4.37489,45.755,providerA,teamA
1035,0,0.52106,50.105,providerA,teamA
1050,0,2.82302,54.605,providerA,teamA
1065,0,0.50671,59.255,providerA,teamA
1080,0,3.74904,64.055,providerA,teamA
1095,0,3.00608,69.005,providerA,teamA
1110,0,1.73821,74.105,providerA,teamA
1125,0,1.58084,79.355,providerA,teamA
1140,0,0.40268,84.755,providerA,teamA
1155,0,3.81719,90.305,providerA,teamA
1170,0,1.08948,96.005,providerA,teamA
1185,0,2.54695,101.855,providerA,teamA
1200,0,1.41418,107.855,providerA,teamA
1215,0,0.79389,114.005,providerA,teamA
1230,0,1.4689,120.305,providerA,teamA
1245,0,1.43274,126.755,providerA,teamA
1260,0,2.90434,133.355,providerA,teamA
1275,0,3.44474,140.105,providerA,teamA
1290,0,2.81976,147.005,providerA,teamA
1305,0,3.62791,154.055,providerA,teamA
1320,0,1.71428,161.255,providerA,teamA
1335,0,2.84656,168.605,providerA,teamA
1350,0,0.55668,176.105,providerA,teamA
1365,0,0.14198,183.755,providerA,teamA
1380,0,4.83081,191.555,providerA,teamA
1395,0,2.8922,199.505,providerA,teamA
1410,0,4.05407,207.605,providerA,teamA
1425,0,1.51894,215.855,providerA,teamA
0,0,4.18708,209.855,providerA,teamA
15,0,3.45604,204.005,providerA,teamA
30,0,1.71306,198.305,providerA,teamA
45,0,2.681,192.755,providerA,teamA
60,0,4.82665,187.355,providerA,teamA
75,0,4.0045,182.105,providerA,teamA
90,0,3.04011,177.005,providerA,teamA
105,0,3.35855,172.055,providerA,teamA
120,1,4.1537,167.255,providerA,teamA
15,0,3.94265,6.88959,providerA,teamA
30,0,1.89628,14.74226,providerA,teamA
45,0,4.96484,19.05005,providerA,teamA
60,0,2.86662,8.67464,providerA,teamA
75,0,0.26493,11.48697,providerA,teamA
90,0,1.5945,18.54177,providerA,teamA
105,0,3.38053,12.37086,providerA,teamA
120,0,1.21194,10.02713,providerA,teamA
135,0,4.05279,8.3567,providerA,teamA
150,0,4.06509,17.09847,providerA,teamA
165,0,4.56265,17.24017,providerA,teamA
180,0,4.69804,16.9565,providerA,teamA
195,0,2.77061,18.81549,providerA,teamA
210,0,3.37982,19.41711,providerA,teamA
225,0,4.69807,14.85762,providerA,teamA
240,0,3.10893,15.56422,providerA,teamA
255,0,3.84369,19.44511,providerA,teamA
270,0,1.39276,19.00001,providerA,teamA
285,0,4.21429,17.74846,providerA,teamA
300,0,4.86676,13.8038,providerA,teamA
315,0,4.23575,9.94009,providerA,teamA
330,0,4.13292,18.04007,providerA,teamA
345,0,3.22553,8.88008,providerA,teamA
360,0,3.43901,8.02533,providerA,teamA
375,0,2.25343,6.57106,providerA,teamA
390,0,3.6111,7.42933,providerA,teamA
405,0,2.79102,13.71294,providerA,teamA
420,0,1.4837,11.81562,providerA,teamA
435,0,4.88038,9.46284,providerA,teamA
450,0,2.64438,17.8208,providerA,teamA
465,0,4.0445,16.408,providerA,teamA
480,0,4.22369,8.53339,providerA,teamA
495,0,4.78801,10.44063,providerA,teamA
510,0,2.37205,6.89651,providerA,teamA
525,0,0.26388,12.63003,providerA,teamA
540,0,2.82613,11.56635,providerA,teamA
555,0,2.24967,9.76028,providerA,teamA
570,0,4.2114,7.4511,providerA,teamA
585,0,0.43602,17.79301,providerA,teamA
600,0,3.05755,10.80143,providerA,teamA
615,0,3.41409,16.46026,providerA,teamA
630,0,1.91027,13.30506,providerA,teamA
645,0,1.91029,10.12199,providerA,teamA
660,0,1.91633,18.77915,providerA,teamA
675,0,0.65897,14.354,providerA,teamA
690,0,1.57592,17.46417,providerA,teamA
705,0,1.90179,16.23693,providerA,teamA
720,0,2.46333,19.68335,providerA,teamA
735,0,3.11796,17.47726,providerA,teamA
750,0,1.1948,10.17884,providerA,teamA
765,0,2.83021,18.64513,providerA,teamA
780,0,2.02936,5.5372,providerA,teamA
795,0,0.97875,18.68761,providerA,teamA
810,0,1.61737,9.40126,providerA,teamA
825,0,1.53894,8.82475,providerA,teamA
840,0,2.33004,9.90809,providerA,teamA
855,0,0.98501,5.99451,providerA,teamA
870,0,4.83072,8.69451,providerA,teamA
885,0,4.46789,11.54451,providerA,teamA
900,0,1.3023,14.54451,providerA,teamA
915,0,2.30898,17.69451,providerA,teamA
930,0,4.72552,20.99451,providerA,teamA
945,0,4.6505,24.44451,providerA,teamA
960,0,3.97129,28.04451,providerA,teamA
975,0,1.79364,31.79451,providerA,teamA
990,0,1.59062,35.69451,providerA,teamA
1005,0,0.6554,39.74451,providerA,teamA
1020,0,0.41301,43.94451,providerA,teamA
1035,0,4.79521,48.29451,providerA,teamA
1050,0,1.95194,52.79451,providerA,teamA
1065,0,0.62887,57.44451,providerA,teamA
1080,0,0.03362,62.24451,providerA,teamA
1095,0,3.35871,67.19451,providerA,teamA
1110,0,2.31556,72.29451,providerA,teamA
1125,0,4.79819,77.54451,providerA,teamA
1140,0,3.52515,82.94451,providerA,teamA
1155,0,1.53376,88.49451,providerA,teamA
1170,0,1.89575,94.19451,providerA,teamA
1185,0,2.46566,100.04451,providerA,teamA
1200,0,3.96944,106.04451,providerA,teamA
1215,0,3.03377,112.19451,providerA,teamA
1230,0,4.04946,118.49451,providerA,teamA
1245,0,3.36861,124.94451,providerA,teamA
1260,0,2.23306,131.54451,providerA,teamA
1275,0,1.66587,138.29451,providerA,teamA
1290,0,4.73221,145.19451,providerA,teamA
1305,0,3.55286,152.24451,providerA,teamA
1320,0,0.27689,159.44451,providerA,teamA
1335,0,4.47369,166.79451,providerA,teamA
1350,0,1.49694,174.29451,providerA,teamA
1365,0,0.3089,181.94451,providerA,teamA
1380,0,1.07207,189.74451,providerA,teamA
1395,0,0.40033,197.69451,providerA,teamA
1410,0,4.12287,205.79451,providerA,teamA
1425,0,1.38338,214.04451,providerA,teamA
0,0,3.5069,208.04451,providerA,teamA
15,0,4.56234,202.19451,providerA,teamA
30,0,1.14199,196.49451,providerA,teamA
45,0,4.16042,190.94451,providerA,teamA
60,0,1.43971,185.54451,providerA,teamA
75,0,4.36615,180.29451,providerA,teamA
90,0,4.19623,175.19451,providerA,teamA
105,0,2.21423,170.24451,providerA,teamA
120,1,1.71287,165.44451,providerA,teamA
15,0,1.59669,18.27236,providerA,teamA
30,0,4.87743,6.4216,providerA,teamA
45,0,4.82069,17.32353,providerA,teamA
60,0,2.8326,17.36172,providerA,teamA
75,0,4.94261,8.72291,providerA,teamA
90,0,1.75058,6.17162,providerA,teamA
105,0,1.00469,7.00344,providerA,teamA
120,0,4.52955,19.62379,providerA,teamA
135,0,2.85548,15.72703,providerA,teamA
150,0,4.91124,10.38411,providerA,teamA
165,0,2.90776,13.63757,providerA,teamA
180,0,4.44962,15.65356,providerA,teamA
195,0,4.90679,15.12668,providerA,teamA
210,0,0.41812,4.02475,providerA,teamA
225,0,1.9658,17.32618,providerA,teamA
240,0,1.14054,11.60269,providerA,teamA
255,0,3.15968,19.8259,providerA,teamA
270,0,3.99346,16.20349,providerA,teamA
285,0,3.10505,12.65054,providerA,teamA
300,0,2.59783,13.24116,providerA,teamA
315,0,4.85595,16.92045,providerA,teamA
330,0,4.48872,10.32411,providerA,teamA
345,0,0.92209,9.1354,providerA,teamA
360,0,3.13097,19.98046,providerA,teamA
375,0,3.92018,19.56398,providerA,teamA
390,0,3.5373,7.37331,providerA,teamA
405,0,2.90179,12.17307,providerA,teamA
420,0,2.19762,9.1189,providerA,teamA
435,0,4.94431,6.08971,providerA,teamA
450,0,0.97472,4.89768,providerA,teamA
465,0,2.07553,16.44126,providerA,teamA
480,0,4.63275,13.76092,providerA,teamA
495,0,1.17236,18.58633,providerA,teamA
510,0,2.99451,9.4268,providerA,teamA
525,0,3.5481,5.30298,providerA,teamA
540,0,4.31837,16.55199,providerA,teamA
555,0,1.14354,12.46243,providerA,teamA
570,0,4.31305,19.22173,providerA,teamA
585,0,3.15612,10.92089,providerA,teamA
600,0,2.86805,18.5808,providerA,teamA
615,0,3.30895,7.19732,providerA,teamA
630,0,4.55208,14.39883,providerA,teamA
645,0,1.38795,7.08196,providerA,teamA
660,0,4.57509,7.68196,providerA,teamA
675,0,3.34859,8.43196,providerA,teamA
690,0,0.79933,9.33196,providerA,teamA
705,0,4.88493,10.38196,providerA,teamA
720,0,4.16878,11.58196,providerA,teamA
735,0,4.3039,12.93196,providerA,teamA
750,0,2.52205,14.43196,providerA,teamA
765,0,2.41821,16.08196,providerA,teamA
780,0,2.38352,17.88196,providerA,teamA
795,0,4.11025,19.83196,providerA,teamA
810,0,4.22644,21.93196,providerA,teamA
825,0,0.14914,24.18196,providerA,teamA
840,0,0.97481,26.58196,providerA,teamA
855,0,3.897,29.13196,providerA,teamA
870,0,4.74204,31.83196,providerA,teamA
885,0,1.86172,34.68196,providerA,teamA
900,0,4.43532,37.68196,providerA,teamA
915,0,1.17005,40.83196,providerA,teamA
930,0,0.88079,44.13196,providerA,teamA
945,0,0.9403,47.58196,providerA,teamA
960,0,0.89292,51.18196,providerA,teamA
975,0,2.11995,54.93196,providerA,teamA
990,0,2.50025,58.83196,providerA,teamA
1005,0,4.82511,62.88196,providerA,teamA
1020,0,3.65534,67.08196,providerA,teamA
1035,0,2.00414,71.43196,providerA,teamA
1050,0,2.97914,75.93196,providerA,teamA
1065,0,1.18289,80.58196,providerA,teamA
1080,0,2.69053,85.38196,providerA,teamA
1095,0,0.25057,90.33196,providerA,teamA
1110,0,4.52529,95.43196,providerA,teamA
1125,0,2.24906,100.68196,providerA,teamA
1140,0,4.62827,106.08196,providerA,teamA
1155,0,2.87737,111.63196,providerA,teamA
1170,0,4.80245,117.33196,providerA,teamA
1185,0,2.39485,123.18196,providerA,teamA
1200,0,3.19568,129.18196,providerA,teamA
1215,0,2.50737,135.33196,providerA,teamA
1230,0,0.7687,141.63196,providerA,teamA
1245,0,2.77833,148.08196,providerA,teamA
1260,0,4.9455,154.68196,providerA,teamA
1275,0,2.11302,161.43196,providerA,teamA
1290,0,1.44657,168.33196,providerA,teamA
1305,0,0.94581,175.38196,providerA,teamA
1320,0,4.82213,182.58196,providerA,teamA
1335,0,0.49059,189.93196,providerA,teamA
1350,0,3.87783,197.43196,providerA,teamA
1365,0,1.18333,205.08196,providerA,teamA
1380,0,0.57337,212.88196,providerA,teamA
1395,0,2.08677,220.83196,providerA,teamA
1410,0,0.09647,228.93196,providerA,teamA
1425,0,2.38197,237.18196,providerA,teamA
0,0,2.35938,231.18196,providerA,teamA
15,0,0.04834,225.33196,providerA,teamA
30,0,3.62197,219.63196,providerA,teamA
45,0,4.34666,214.08196,providerA,teamA
60,0,4.44038,208.68196,providerA,teamA
75,0,0.38517,203.43196,providerA,teamA
90,0,3.52081,198.33196,providerA,teamA
105,0,1.81259,193.38196,providerA,teamA
120,1,0.62192,188.58196,providerA,teamA
15,0,1.41422,19.98196,providerA,teamA
30,0,3.91413,19.88674,providerA,teamA
